trial,Run,Number of Moves,Moves
2,0,154,"['left', 'up', 'right', 'up', 'up', 'left', 'left', 'left', 'right', 'up', 'down', 'down', 'down', 'down', 'left', 'right', 'right', 'right', 'left', 'up', 'left', 'up', 'down', 'left', 'down', 'right', 'left', 'down', 'up', 'left', 'right', 'right', 'down', 'up', 'up', 'down', 'left', 'right', 'down', 'up', 'up', 'left', 'right', 'right', 'left', 'left', 'up', 'down', 'up', 'up', 'left', 'right', 'down', 'left', 'down', 'down', 'up', 'up', 'left', 'down', 'right', 'right', 'left', 'up', 'up', 'down', 'down', 'left', 'up', 'right', 'up', 'up', 'left', 'right', 'left', 'left', 'down', 'down', 'right', 'right', 'up', 'left', 'down', 'up', 'left', 'up', 'up', 'left', 'left', 'down', 'right', 'left', 'down', 'right', 'down', 'left', 'left', 'down', 'up', 'left', 'up', 'down', 'right', 'up', 'down', 'up', 'down', 'down', 'up', 'up', 'down', 'down', 'down', 'down', 'right', 'down', 'right', 'right', 'down', 'up', 'down', 'up', 'down', 'up', 'left', 'up', 'down', 'right', 'down', 'up', 'up', 'left', 'left', 'down', 'left', 'right', 'down', 'right', 'up', 'right', 'down', 'left', 'right', 'down', 'right', 'right', 'right', 'up', 'right', 'down', 'down', 'left', 'right', 'right']"
2,1,89,"['up', 'up', 'down', 'up', 'left', 'right', 'down', 'up', 'down', 'left', 'up', 'down', 'right', 'right', 'right', 'right', 'right', 'up', 'right', 'down', 'right', 'down', 'up', 'up', 'up', 'right', 'left', 'down', 'left', 'up', 'up', 'down', 'left', 'up', 'up', 'left', 'down', 'left', 'down', 'right', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'up', 'right', 'left', 'right', 'down', 'left', 'left', 'up', 'right', 'left', 'down', 'up', 'left', 'down', 'down', 'right', 'down', 'right', 'left', 'right', 'up', 'left', 'left', 'up', 'left', 'up', 'down', 'up', 'down', 'right', 'right', 'left', 'right', 'up', 'left', 'left', 'up', 'up', 'right', 'up', 'down', 'left']"
2,2,105,"['left', 'up', 'right', 'up', 'left', 'right', 'left', 'right', 'down', 'down', 'right', 'up', 'down', 'up', 'up', 'down', 'up', 'right', 'down', 'down', 'down', 'up', 'left', 'up', 'up', 'down', 'left', 'down', 'right', 'down', 'right', 'right', 'down', 'up', 'left', 'up', 'down', 'up', 'down', 'left', 'left', 'right', 'right', 'down', 'up', 'down', 'left', 'right', 'up', 'left', 'right', 'right', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'up', 'up', 'down', 'right', 'left', 'up', 'up', 'down', 'right', 'left', 'right', 'up', 'left', 'up', 'down', 'right', 'down', 'up', 'up', 'down', 'right', 'down', 'right', 'right', 'right', 'down', 'left', 'right', 'down', 'down', 'left', 'right', 'up', 'right', 'left', 'up', 'up', 'up', 'right', 'down', 'right', 'right']"
2,3,94,"['up', 'left', 'up', 'left', 'right', 'right', 'down', 'up', 'right', 'right', 'right', 'left', 'left', 'down', 'up', 'down', 'down', 'down', 'down', 'right', 'down', 'down', 'left', 'right', 'right', 'right', 'down', 'down', 'down', 'down', 'right', 'up', 'left', 'up', 'down', 'right', 'right', 'up', 'right', 'up', 'down', 'left', 'down', 'down', 'down', 'down', 'up', 'down', 'left', 'up', 'up', 'right', 'left', 'right', 'left', 'left', 'right', 'down', 'left', 'down', 'left', 'down', 'left', 'left', 'down', 'right', 'right', 'up', 'left', 'up', 'left', 'right', 'right', 'up', 'up', 'left', 'right', 'left', 'left', 'left', 'left', 'right', 'down', 'left', 'right', 'up', 'left', 'right', 'left', 'down', 'up', 'down', 'up', 'left']"
2,4,158,"['left', 'up', 'down', 'up', 'down', 'right', 'left', 'right', 'left', 'down', 'down', 'left', 'left', 'right', 'right', 'up', 'up', 'left', 'right', 'left', 'down', 'up', 'right', 'down', 'right', 'right', 'left', 'right', 'down', 'right', 'up', 'right', 'up', 'down', 'right', 'right', 'up', 'right', 'left', 'down', 'up', 'up', 'up', 'up', 'down', 'down', 'up', 'left', 'right', 'down', 'left', 'right', 'right', 'right', 'right', 'right', 'up', 'down', 'down', 'up', 'left', 'down', 'down', 'up', 'left', 'down', 'right', 'down', 'right', 'right', 'right', 'down', 'left', 'right', 'up', 'left', 'left', 'right', 'right', 'left', 'up', 'right', 'right', 'down', 'right', 'down', 'down', 'left', 'right', 'up', 'down', 'up', 'right', 'left', 'down', 'up', 'down', 'right', 'up', 'left', 'left', 'left', 'down', 'up', 'right', 'left', 'right', 'down', 'up', 'up', 'up', 'down', 'down', 'left', 'up', 'down', 'right', 'down', 'right', 'up', 'right', 'down', 'up', 'up', 'up', 'up', 'down', 'down', 'up', 'left', 'right', 'down', 'left', 'down', 'right', 'left', 'up', 'right', 'right', 'right', 'down', 'left', 'right', 'down', 'left', 'left', 'right', 'up', 'right', 'left', 'up', 'right', 'up', 'right', 'up', 'down', 'right', 'down']"
3,0,85,"['left', 'down', 'up', 'up', 'left', 'up', 'left', 'down', 'up', 'right', 'down', 'right', 'left', 'down', 'left', 'down', 'up', 'left', 'left', 'right', 'down', 'left', 'down', 'up', 'down', 'left', 'left', 'right', 'down', 'right', 'left', 'left', 'up', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'down', 'left', 'down', 'down', 'right', 'up', 'right', 'up', 'right', 'left', 'right', 'right', 'right', 'left', 'down', 'right', 'up', 'down', 'left', 'left', 'up', 'left', 'down', 'up', 'down', 'right', 'up', 'left', 'right', 'right', 'down', 'right', 'up', 'left', 'right', 'right', 'down', 'left', 'down', 'down', 'up', 'down', 'right', 'left', 'left']"
3,1,104,"['right', 'right', 'left', 'up', 'down', 'left', 'left', 'left', 'down', 'down', 'up', 'up', 'left', 'left', 'down', 'up', 'left', 'right', 'right', 'up', 'up', 'down', 'left', 'up', 'down', 'up', 'left', 'left', 'up', 'right', 'left', 'up', 'up', 'right', 'right', 'down', 'left', 'down', 'down', 'up', 'left', 'down', 'down', 'down', 'up', 'left', 'right', 'right', 'down', 'down', 'up', 'right', 'up', 'left', 'right', 'up', 'down', 'left', 'right', 'left', 'up', 'left', 'right', 'down', 'left', 'up', 'down', 'left', 'left', 'up', 'down', 'up', 'down', 'down', 'up', 'left', 'right', 'left', 'right', 'down', 'left', 'right', 'up', 'right', 'left', 'down', 'right', 'right', 'left', 'right', 'down', 'down', 'up', 'left', 'down', 'right', 'right', 'up', 'down', 'right', 'down', 'right', 'right', 'right']"
3,2,91,"['right', 'right', 'down', 'left', 'left', 'up', 'up', 'right', 'right', 'up', 'up', 'down', 'right', 'right', 'left', 'right', 'down', 'left', 'left', 'up', 'up', 'left', 'up', 'right', 'down', 'down', 'right', 'right', 'left', 'down', 'left', 'up', 'up', 'right', 'down', 'right', 'left', 'right', 'right', 'down', 'left', 'up', 'up', 'down', 'up', 'up', 'left', 'right', 'left', 'right', 'right', 'left', 'left', 'left', 'left', 'down', 'left', 'up', 'up', 'right', 'right', 'right', 'left', 'down', 'down', 'down', 'up', 'down', 'right', 'right', 'down', 'up', 'up', 'down', 'down', 'right', 'up', 'down', 'right', 'right', 'up', 'down', 'right', 'down', 'left', 'right', 'down', 'right', 'left', 'down', 'up']"
3,3,49,"['right', 'right', 'left', 'left', 'right', 'right', 'right', 'right', 'left', 'down', 'left', 'left', 'left', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'down', 'down', 'left', 'left', 'right', 'up', 'left', 'down', 'up', 'down', 'right', 'down', 'right', 'up', 'down', 'right', 'up', 'up', 'right', 'left', 'right', 'up', 'down', 'up', 'right', 'up', 'down', 'up', 'up']"
3,4,102,"['right', 'up', 'left', 'right', 'up', 'left', 'right', 'down', 'down', 'left', 'down', 'up', 'down', 'left', 'left', 'up', 'down', 'right', 'right', 'left', 'up', 'down', 'right', 'right', 'up', 'right', 'right', 'up', 'down', 'right', 'right', 'down', 'left', 'up', 'up', 'up', 'left', 'down', 'up', 'down', 'down', 'down', 'right', 'left', 'right', 'left', 'right', 'left', 'left', 'down', 'down', 'right', 'down', 'down', 'left', 'right', 'up', 'right', 'left', 'down', 'left', 'down', 'down', 'right', 'up', 'left', 'right', 'up', 'down', 'right', 'left', 'left', 'up', 'right', 'up', 'down', 'left', 'right', 'left', 'down', 'up', 'left', 'up', 'down', 'up', 'up', 'right', 'up', 'right', 'up', 'left', 'left', 'right', 'right', 'down', 'right', 'right', 'down', 'down', 'right', 'up', 'left']"
4,0,52,"['up', 'down', 'up', 'up', 'left', 'up', 'down', 'left', 'left', 'down', 'down', 'up', 'up', 'down', 'up', 'down', 'right', 'right', 'right', 'left', 'left', 'right', 'right', 'left', 'right', 'up', 'up', 'right', 'left', 'right', 'left', 'down', 'right', 'left', 'up', 'up', 'up', 'down', 'right', 'left', 'left', 'left', 'down', 'right', 'right', 'left', 'down', 'right', 'up', 'down', 'up', 'right']"
4,1,218,"['up', 'right', 'right', 'down', 'left', 'right', 'up', 'right', 'left', 'up', 'left', 'right', 'left', 'up', 'left', 'down', 'left', 'up', 'left', 'down', 'left', 'down', 'down', 'left', 'up', 'down', 'right', 'down', 'down', 'right', 'right', 'down', 'left', 'left', 'up', 'right', 'up', 'down', 'left', 'left', 'up', 'up', 'up', 'up', 'right', 'right', 'left', 'down', 'up', 'up', 'down', 'up', 'down', 'down', 'down', 'up', 'left', 'down', 'up', 'up', 'right', 'down', 'left', 'up', 'right', 'right', 'left', 'up', 'left', 'up', 'up', 'right', 'left', 'up', 'left', 'up', 'down', 'left', 'down', 'left', 'up', 'left', 'up', 'up', 'up', 'down', 'up', 'right', 'up', 'up', 'up', 'right', 'right', 'left', 'right', 'right', 'right', 'down', 'right', 'up', 'right', 'up', 'left', 'left', 'up', 'right', 'down', 'up', 'left', 'down', 'down', 'left', 'down', 'up', 'down', 'down', 'right', 'left', 'down', 'up', 'up', 'down', 'up', 'up', 'left', 'up', 'down', 'up', 'right', 'right', 'right', 'down', 'left', 'right', 'down', 'right', 'left', 'right', 'down', 'up', 'right', 'down', 'right', 'down', 'down', 'down', 'right', 'up', 'right', 'down', 'up', 'up', 'right', 'right', 'left', 'right', 'down', 'left', 'right', 'down', 'up', 'left', 'left', 'up', 'left', 'left', 'up', 'up', 'left', 'right', 'up', 'right', 'left', 'down', 'left', 'up', 'up', 'right', 'left', 'up', 'up', 'up', 'up', 'up', 'left', 'up', 'left', 'up', 'down', 'up', 'left', 'right', 'down', 'left', 'right', 'up', 'up', 'right', 'down', 'down', 'right', 'down', 'down', 'up', 'up', 'down', 'left', 'left', 'right', 'right', 'up', 'right', 'up', 'down', 'up', 'up', 'up', 'down']"
